Attendance,Attendance Status,Bonus,Date,Director,Email,Gender,Job Level,Month,Name,Please enter your feedback,Please enter your score,Please select your location,Quarter,Salary,Senior Manager,Team,Training
Absent,84,4343.22,2025-01-05,Adrian Hernandez,qjuarez@gmail.com,Female,Lead,February,Kristina Cole,Half sell oil charge admit maintain party.,4,Tokyo,Q2,63156.0,Juan Johnson,HR,In Progress
Absent,57,2906.12,2025-04-01,Nancy Burke,tayloradam@peterson.com,Other,Junior,January,Sarah Stewart,Of air over smile shake control easy.,7,Sydney,Q2,65729.07,Logan Anderson,Sales,In Progress
Absent,5,2575.08,2025-01-26,Matthew Parker,ortizjames@brown.com,Male,Junior,April,Brooke Miller,Industry there reveal describe class receive sing name training specific.,5,New York,Q4,58476.98,Dana Graham,Sales,Pending
Present,79,1665.53,2025-01-28,James Butler Jr.,ryan73@hickman.info,Male,Mid,August,Dan Parker,Bit follow car visit TV now after.,1,Tokyo,Q3,83725.81,Joseph Schmidt,Development,Pending
Present,43,4939.36,2025-02-07,Jessica Meyers,karen98@roberts.biz,Male,Senior,December,Cheyenne West,Word begin image business prevent service learn pull.,3,Sydney,Q1,88629.44,Elaine Clark,Development,In Progress
Present,51,4319.16,2025-04-03,Louis Poole,aliciafisher@fowler.com,Male,Junior,May,Ronald Nichols,One sense certainly science knowledge deal rather couple scientist research.,1,Mumbai,Q3,107432.88,Jacqueline Gibson,Support,Pending
Present,38,3799.04,2025-01-13,Michael Powell,heatherbarber@hotmail.com,Other,Senior,October,Briana Salinas,Factor by leave several city even paper fire control oil morning mission attention.,10,Tokyo,Q1,67017.21,Randall Garcia,Support,Completed
Present,47,1582.13,2025-01-07,Ann Olsen,jdaniel@gmail.com,Female,Mid,March,Cristian Cohen,Determine company similar seem half big.,6,New York,Q4,84349.59,David Nguyen,Support,In Progress
Absent,30,1924.3,2025-03-25,Stacey Moore,qlucas@grant.com,Female,Mid,November,Paul Lopez,Follow think green world feel song before right paper throughout suggest bill.,3,London,Q4,83695.23,Katherine Gonzalez,Support,Pending
Absent,7,1592.69,2025-01-30,Collin Smith,privera@gmail.com,Male,Mid,January,Mary Kaufman,Card the and them board should such store interest society.,8,London,Q1,60780.32,John Prince,Sales,Pending
Present,42,2412.37,2025-02-07,Mario Gonzalez,michele86@gmail.com,Male,Mid,December,Maria Chan,Rest summer laugh rather show order scene.,3,London,Q2,75794.88,Chase Gross,Support,Pending
Absent,95,2745.05,2025-05-08,Joel Martin,ricedustin@wood.com,Male,Mid,November,Gregory Warren,Though method best capital parent popular peace give beat story its.,1,Mumbai,Q4,37822.4,Aaron Martinez,Development,Completed
Absent,2,4529.52,2025-03-06,Shane Chan,jennifer16@johnson.org,Other,Lead,May,Michael Moreno,Might should ten society travel seven such can meet may purpose.,3,Sydney,Q2,95888.06,Christine Johnson,Support,In Progress
Absent,83,4684.14,2025-01-15,Jamie Patton,angelabarnett@yahoo.com,Female,Junior,May,Harold Torres,Doctor door charge spend note second seven seat need science lot industry same.,9,New York,Q1,35082.32,David Jenkins PhD,HR,Completed
Present,70,2242.15,2025-02-18,Michael Martin,michael38@gmail.com,Other,Lead,June,Mr. Gregory Smith,Loss eat dog write find school also certain yourself.,1,Sydney,Q2,72855.45,Shawn Fuller,Development,Pending
Absent,50,2058.46,2025-03-07,Mary Keith,olsonphilip@hotmail.com,Female,Mid,March,Kenneth Chavez,Local those focus lead new institution discussion.,10,Tokyo,Q3,65530.79,Abigail Montoya,Marketing,Pending
Absent,34,4052.32,2025-03-15,Karen Holden,upeterson@smith.biz,Other,Lead,April,Anne Medina,Cold get government good suddenly worker enter very skin individual.,5,London,Q2,115607.71,Carly James,Marketing,Completed
Absent,33,3173.44,2025-01-26,Heather Williams,millerchristopher@hotmail.com,Male,Lead,October,Lindsey Adams,Describe decide old region soon morning.,1,Tokyo,Q1,78190.54,Robert Hodge,Marketing,Pending
Present,100,2275.74,2025-03-09,Shelby Fuentes,david77@hotmail.com,Other,Lead,December,Christopher Thompson,Check miss else sort just record Republican.,6,Mumbai,Q2,91289.09,Luis Wilson,Sales,Pending
Absent,73,3331.77,2025-04-16,Denise Chavez,hpierce@gmail.com,Female,Lead,July,Becky Miller,Rich movie perform himself population find face agree least partner.,7,Sydney,Q1,51108.5,Jennifer Arnold,Support,In Progress
Absent,1,3528.09,2025-01-20,Glen Hernandez,jonathan47@moss-ramirez.com,Other,Mid,April,Roy Price,Law energy which board age least general along tell ask anyone avoid.,4,Tokyo,Q1,54417.11,Eric Leach,Marketing,Pending
Absent,93,4133.13,2025-03-07,Justin Lyons,hansonwilliam@hotmail.com,Other,Junior,March,Leah Smith,Growth sister difficult artist author news discuss usually structure.,1,New York,Q2,92814.37,Lauren Juarez,Sales,Pending
Absent,98,1240.43,2025-03-21,James Thompson,ochoamatthew@hotmail.com,Female,Junior,April,Joseph Quinn,Score ago federal many even and.,10,Mumbai,Q1,43307.87,Lisa Holland,Sales,Pending
Absent,50,4619.28,2025-01-31,Heather Fernandez,pjordan@rodriguez.com,Female,Junior,September,Alexis Russo,Teacher game else good job night fine country federal where because region keep.,4,London,Q1,78655.57,Heather Short,HR,In Progress
Absent,17,4377.33,2025-05-03,Gregory Donovan,freemanerica@valdez.com,Female,Junior,December,Dr. Kyle Davis,Everybody thought human weight challenge change from center Republican history consumer rock.,3,New York,Q2,72391.52,Whitney Herrera,Marketing,Pending
Absent,2,1757.16,2025-03-17,Robin Young,drussell@gmail.com,Female,Mid,November,Vanessa Howard,Me indeed how defense garden expect other.,6,Tokyo,Q2,117372.84,Anne Nelson,HR,In Progress
Present,36,3450.32,2025-03-03,Erica Kim,jacob92@yahoo.com,Other,Senior,January,Grant Ross,Cover research example realize put address keep find vote power authority success road.,8,Mumbai,Q3,65302.01,Gary Shelton,Development,Completed
Present,31,3666.65,2025-03-23,Sally Mann,brittany01@hotmail.com,Other,Senior,March,Brian Hanna,Major about difference season expert expert you house follow step he color.,8,Sydney,Q3,61601.83,Nicolas Brown,Sales,Pending
Absent,29,3219.64,2025-02-28,Charles Hernandez,jenkinsfrancisco@coleman.com,Female,Junior,December,Phillip Brown,Security senior production help science live move factor old.,3,Mumbai,Q1,56772.02,Dean Adams,Development,In Progress
Absent,1,2505.35,2025-01-23,Valerie Floyd,anthony72@gmail.com,Female,Junior,November,Cristina Zamora,Writer image water event mind throw official shake later sound.,6,Sydney,Q2,61376.56,Vicki Arnold,Marketing,In Progress
Absent,47,1539.21,2025-02-21,Jennifer Gomez,charlesromero@harris.com,Other,Senior,March,Kimberly Hernandez,Player unit population quite magazine medical dark black expert crime despite.,5,New York,Q2,56925.04,Joshua Allen,Marketing,Completed
Present,1,1019.29,2025-04-14,Vanessa Greene,gsteele@garcia.org,Other,Mid,June,Michele Guerrero,Four series cut financial president Democrat.,1,London,Q3,74912.44,Carrie Cook,Sales,Pending
Absent,73,3776.66,2025-04-03,Joseph Moses,kimberlypetty@hotmail.com,Other,Mid,May,Leah Jenkins,Pretty practice live everything effort must majority be think director run.,5,London,Q3,40876.42,Jillian Hinton,Development,Completed
Present,77,1559.3,2025-01-01,Robert Thompson,jpeters@lloyd-glass.biz,Other,Senior,September,Ashley Webster,Garden computer parent generation sport personal.,8,Mumbai,Q4,38637.49,Paula Phelps,Marketing,In Progress
Absent,40,2055.71,2025-04-22,Christopher Nelson,cartercharles@brown.biz,Male,Mid,January,Lori Obrien,Relationship media now reality response real green everybody skill.,3,New York,Q2,54781.39,Mr. Jeffrey George II,Marketing,In Progress
Absent,21,3035.77,2025-04-20,Nicole Austin,melissa91@lowery.com,Female,Mid,May,Lisa Hamilton,Management claim smile lay number happy quickly player current.,8,London,Q1,119588.69,Dr. Jon Richmond,HR,In Progress
Absent,62,4117.23,2025-03-18,Rebecca Thomas,larias@rodgers-petty.com,Other,Lead,March,Kimberly Torres,Reflect chair anything live gun film shoulder society house who situation project product.,8,Tokyo,Q3,113105.48,Angela Hall,Marketing,Completed
Absent,86,2468.74,2025-03-04,Deanna Silva,arroyorobert@hotmail.com,Male,Lead,December,Tiffany Logan,Standard place my when here operation.,8,Mumbai,Q3,74333.55,Mitchell Madden,HR,Completed
Present,46,2395.29,2025-04-05,Joseph Leonard,matthew26@carter.biz,Other,Mid,February,Lisa Peterson,Couple lay above view stuff trial campaign feeling opportunity.,6,Sydney,Q4,31729.51,Christopher Perez,Marketing,In Progress
Present,93,2841.77,2025-01-02,Joe Conrad,larry74@hotmail.com,Male,Senior,August,Corey Le,Him level lawyer available image any treat onto key require body stage.,9,New York,Q1,60979.56,Elizabeth Davis,Development,Pending
Absent,73,2816.29,2025-01-11,John Huff,lpratt@gmail.com,Male,Mid,August,Patrick Russell,Reveal until deep near clearly house year age.,2,Sydney,Q1,39263.66,John Strickland,Marketing,In Progress
Absent,39,3084.74,2025-04-18,David King,mariahensley@smith.com,Female,Lead,November,Michelle Ramirez,Near western value look star home.,2,Tokyo,Q4,73780.43,Laurie Brown,Development,Pending
Present,54,1528.98,2025-04-29,Megan Miranda,sowen@evans-simpson.biz,Female,Senior,January,Brandon Stephenson MD,Health space attorney about alone light large design.,6,New York,Q3,96361.95,Nicholas Quinn,Development,Completed
Present,87,3062.75,2025-04-04,Jamie Brown,irwinkim@yahoo.com,Male,Lead,September,Bryan Burns,Tv research east example share image industry hotel read security spend worry green.,3,London,Q3,100932.19,Brianna Cook,Marketing,Completed
Absent,78,4008.35,2025-01-15,Steve Sweeney,juliafisher@pierce.com,Other,Junior,June,Deanna Turner,Where relate energy election century rate.,8,New York,Q1,100964.83,Darren Hoover,Marketing,Pending
Absent,81,1625.46,2025-03-17,Colleen Manning,medinabrandon@yahoo.com,Other,Senior,March,Justin Moore,Range worry change language treat lay cultural service.,5,Tokyo,Q1,89654.75,Stephanie Chapman,HR,Completed
Absent,78,4942.42,2025-02-14,Matthew Stevens,kim25@wells-martinez.com,Male,Lead,June,Tyler Gonzalez,Stock range a break alone hope thank foreign side again commercial.,9,London,Q1,88545.07,Jay Elliott,HR,In Progress
Absent,94,3726.28,2025-01-11,Samuel Moody,steven94@cunningham-bennett.com,Other,Mid,July,Troy Miller,Try talk staff report behavior affect.,9,London,Q1,119694.35,Jennifer Anderson,Marketing,In Progress
Absent,76,2222.85,2025-02-15,Thomas Acevedo,ubaldwin@keller.com,Other,Senior,August,Andrea Smith,Yourself interest do quite foreign reality stock return significant should him each property.,9,Sydney,Q4,62575.99,George Mejia,HR,In Progress
Absent,42,4729.9,2025-02-28,Robert Meyers,chris72@gmail.com,Other,Senior,May,Martin Garcia,Message change view big similar now seek would tell person.,3,London,Q1,72990.46,James Stevens,Development,Completed
Present,90,2150.61,2025-04-01,Raymond Hunter,luismitchell@gmail.com,Other,Junior,December,Francisco Reyes,Environment whom affect support herself marriage case season forward traditional.,9,London,Q2,71432.04,James Joseph,Development,Pending
Present,97,1640.03,2025-03-07,William Evans,deanna77@hotmail.com,Male,Junior,July,Frank Mitchell,Without education computer commercial picture above real good model.,3,Sydney,Q1,53411.3,Timothy Torres,HR,Pending
Absent,89,3696.71,2025-02-04,Jessica Molina PhD,allison65@lee.com,Other,Mid,October,Clifford Chen,Much beyond quality easy meeting hear entire car throughout even rate production form.,9,New York,Q2,81840.83,Kenneth Allen,Marketing,Completed
Absent,4,4701.05,2025-01-14,Benjamin King,shannonhaas@edwards-foster.net,Female,Junior,July,Steven Lewis,Late south land stand might clearly nation.,2,New York,Q1,81573.46,Rebecca Hodge,HR,In Progress
Present,53,4450.82,2025-01-30,Heather Schneider,matthew99@wilson.com,Other,Lead,June,Scott Compton,Condition language majority bar well different beyond wish fine single fear like.,6,London,Q3,50457.57,Walter Clark,Marketing,Completed
Absent,10,1479.97,2025-01-11,Jordan Martinez,nguyenrandy@cook-pearson.org,Female,Mid,August,Michael Bates,His sign throw state yeah should too indeed course surface music see.,9,New York,Q4,31757.68,Dawn Parks,Marketing,Completed
Absent,81,3747.73,2025-01-01,Audrey Lloyd,cookraymond@gmail.com,Other,Senior,November,Andrew Walker,Over single first other time concern.,9,Mumbai,Q3,73925.84,Christopher Gibbs,Marketing,Pending
Present,29,2326.12,2025-02-17,Jamie Yang,gtaylor@yahoo.com,Other,Mid,March,Robin Taylor,Six expect listen box find star of of.,4,London,Q3,109430.68,Victoria Avila,Support,In Progress
Absent,30,2837.73,2025-03-10,Ryan Cooley,nchandler@gmail.com,Male,Junior,August,Christopher Evans,Exist to most table similar thought month movie commercial return center.,7,London,Q4,37758.72,Justin Hicks,Marketing,Pending
Absent,9,4161.54,2025-02-19,Joseph Harris,sparkslisa@hotmail.com,Male,Lead,October,Hayden Christensen,Every most house collection improve political strategy list turn tough hope.,4,Sydney,Q2,78204.12,Eric Davis,Development,Completed
Absent,61,3187.91,2025-05-06,Jacqueline James,catherineclark@brewer.com,Male,Mid,April,Jennifer Moreno,More spend over present include campaign religious.,5,New York,Q1,114485.06,Joseph Miller,Development,In Progress
Absent,78,4448.57,2025-02-05,Tracy Shaw,cgonzalez@gmail.com,Female,Mid,March,Christopher Grant,Nation teach expert whether notice usually traditional open radio cultural kid sit.,7,New York,Q1,61489.43,Robert Levine,Sales,Pending
Present,44,1206.08,2025-02-16,Edward Rosales,michellerichardson@mendoza.com,Female,Senior,October,Matthew Davis,Natural culture behind build strategy note season north.,5,London,Q3,112781.74,Kristopher Dennis,Support,Pending
Absent,30,3749.58,2025-04-10,Linda Hamilton,bradleycarl@oliver.com,Male,Mid,April,Shane Myers,Home husband concern difficult answer movement pay together.,5,London,Q1,112578.04,Jasmine Walker,Sales,Completed
Absent,84,2954.75,2025-03-15,Martin Miller,patrick04@hotmail.com,Male,Junior,February,Keith Nelson,See role he girl skin amount actually.,9,New York,Q4,64798.95,Jason Bridges,HR,Pending
Present,17,4881.48,2025-01-14,Brandi Norman,emily39@kane-hernandez.biz,Female,Junior,November,Steven Smith,Expert unit degree reflect benefit fire.,1,Tokyo,Q2,41346.85,Elizabeth Morgan,Support,Completed
Present,73,1097.61,2025-01-04,Scott Johnson,lleonard@gmail.com,Male,Lead,March,Tamara Garcia DVM,Senior ago former list into truth reach about hundred central trip.,2,Sydney,Q2,36302.82,Michelle Smith,Sales,Pending
Absent,28,4487.96,2025-05-07,Stephanie Burnett,ebony15@smith.com,Female,Junior,April,John Russell,Particularly home suggest try whose color season.,3,Tokyo,Q1,65398.76,Lori Peterson,Marketing,Pending
Absent,87,1461.69,2025-04-05,John James,kroberts@gmail.com,Other,Junior,November,Jeffrey Parsons,Save writer serious should use difficult with might economic.,10,New York,Q2,69796.28,Kristina Yang,Marketing,In Progress
Present,77,2079.92,2025-01-14,Andrew Drake,morgan43@yahoo.com,Female,Mid,October,James Fuller,Nation price cell card federal popular participant view chair.,9,London,Q3,117683.96,Tracy Young,Development,Pending
Present,100,4006.43,2025-04-06,Krista Joseph,atkinsscott@goodwin-patterson.biz,Female,Mid,February,Sylvia Alexander,Between skin take improve dog throughout single service computer foreign pull.,2,Tokyo,Q3,60014.81,Robert James,Development,Pending
Present,79,4841.13,2025-03-08,Kelly Dodson,michaelmorgan@yahoo.com,Male,Senior,March,Kelsey Buckley,Recent bed instead available suffer build standard resource middle quite coach itself southern.,7,Sydney,Q3,61066.62,Omar Jones,HR,Pending
Present,84,2883.11,2025-04-13,Sandra Simmons,zwade@yahoo.com,Other,Lead,January,Mary Mcdonald,Miss my success week war program couple.,1,New York,Q2,58544.05,Peter Clark,Development,In Progress
Present,53,1371.38,2025-01-16,Amy Morales,owensanthony@gmail.com,Other,Senior,September,Joshua Johnson,Tax crime begin carry nice name radio action college.,9,London,Q1,79721.2,George Johnson,Development,Pending
Absent,75,4772.02,2025-03-04,Carl Mcdonald,millermonica@gmail.com,Other,Mid,November,Dawn Hill,Situation about would PM central country strategy beat continue artist just.,6,London,Q3,117067.5,Lisa Ramos,HR,Pending
Present,1,1700.41,2025-03-29,Kevin Berger,xgraves@morris.net,Other,Senior,August,Nicole Ross,Box someone simple success need throw sometimes peace attorney government door man.,8,Mumbai,Q4,103428.54,John Gray,Marketing,Pending
Absent,72,1311.47,2025-04-17,Sandra Rodriguez,ryanandrews@carter-molina.info,Female,Mid,May,Denise Jones,Pick up treatment coach water product determine there manage interview.,6,Sydney,Q2,112678.31,Herbert Murphy,Marketing,Pending
Present,68,4927.33,2025-01-03,Sandra Smith,bjohnson@lucas-hunt.biz,Male,Senior,April,Tracy Anderson,Figure public occur happen language mission process hospital majority fast year only great budget.,10,New York,Q2,101394.52,Mrs. Lisa Daniel,Development,In Progress
